ID|CITY|COUN|SUBJ|SEX|AGE|RELI|PRAC|FOCC|MOCC|FIEL|EMOT|WHEN|LONG|INTS|ERGO|TROPHO|TEMPER|EXPRES|MOVE|EXP1|EXP2|EXP10|PARAL|CON|EXPC|PLEA|PLAN|FAIR|CAUS|COPING|MORL|SELF|RELA|VERBAL|NEUTRO|Field1|Field3|Field2|MYKEY|SIT|STATE|
11001|1|1|1|1|33|1|2|6|1|2|1|4|4|3|0|0|1|1|0|1|0|0|0|1|2|1|1|1|4|4|2|3|3|2|0|joy|4|3|0110011|Durante el período de enamoramiento, cada vez que nos conocimos y en especial cuando no nos habíamos conocido en mucho tiempo.|1|
11001|1|1|1|1|33|1|2|6|1|2|2|4|3|2|2|0|0|1|0|0|0|0|2|1|1|3|0|2|2|1|3|2|2|0|0|fear|3|2|0110012|Cuando estaba involucrado en un accidente de tráfico.|1|
11001|1|1|1|1|33|1|2|6|1|2|3|4|1|3|0|0|0|2|0|0|0|0|1|1|1|3|3|0|3|1|2|2|1|0|0|anger|1|3|0110013|Cuando conducía a casa después de varios días de arduo trabajo, había un automovilista delante de mí que conducía a 50 km / hora y se negó, a pesar de su baja velocidad para dejarme adelantar.|1|
11001|1|1|1|1|33|1|2|6|1|2|4|4|4|4|1|1|0|1|0|0|1|0|1|2|1|3|3|3|3|5|0|1|1|0|2|sadness|4|4|0110014|Cuando perdí a la persona que más significaba para mí.|1|
11001|1|1|1|1|33|1|2|6|1|2|5|4|4|4|3|0|0|0|0|0|0|0|1|1|1|3|0|0|4|1|0|0|2|0|0|disgust|4|4|0110015|En el momento en que derribé a un venado: la vista de las heridas y la impotencia del animal. El darse cuenta de que el animal estaba tan herido que tuvo que ser sacrificado, y cuando el animal gritó en el momento de la muerte.|1|
11001|1|1|1|1|33|1|2|6|1|2|6|4|4|3|0|0|0|0|0|0|0|0|0|2|1|3|0|1|1|2|3|1|2|0|0|shame|4|3|0110016|Cuando no dije la verdad.|1|
11001|1|1|1|1|33|1|2|6|1|2|7|1|3|1|0|0|0|0|0|0|0|0|0|1|1|3|2|1|1|5|3|1|0|0|0|guilt|3|1|0110017|Cuando causé problemas a alguien porque no pudo cumplir con el tiempo asignado y esto tuvo varias consecuencias.|1|
11002|1|1|2|2|23|0|0|7|5|2|1|3|2|2|0|0|1|3|1|1|0|0|2|1|1|1|1|0|0|4|0|3|0|0|0|joy|2|2|0110021|Cuando recibí una carta que me ofrecía el trabajo de verano que había solicitado para.|1|
11002|1|1|2|2|23|0|0|7|5|2|2|4|3|3|2|0|1|0|1|0|0|0|0|3|2|3|0|0|0|3|0|2|0|0|0|fear|3|3|0110022|Una noche, cuando iba a casa sola en París, un hombre vino detrás de mí y me preguntó si no tenía miedo de salir sola, tan tarde por la noche.|1|
11002|1|1|2|2|23|0|0|7|5|2|3|3|3|4|2|0|0|2|0|0|0|1|2|1|1|2|3|0|2|1|3|2|1|3|0|anger|3|4|0110023|Cuando estuve hablando con Él en una fiesta por primera vez en mucho tiempo, un amigo vino, nos interrumpió y Él se fue.|1|
11002|1|1|2|2|23|0|0|7|5|2|4|3|4|4|0|2|0|1|0|0|0|0|0|3|2|3|3|3|2|3|3|1|1|0|2|sadness|4|4|0110024|Cuando mis amigos no me pidieron que fuera a una fiesta de Año Nuevo con ellos.|1|
11002|1|1|2|2|23|0|0|7|5|2|5|4|2|1|0|0|0|0|0|0|0|0|0|1|3|3|0|0|0|4|0|0|0|0|0|disgust|2|1|0110025|Cuando vi a todos los niños muy borrachos (13-14 años) en la ciudad en la noche de Walpurgis.|1|
11002|1|1|2|2|23|0|0|7|5|2|6|1|1|2|3|0|2|2|1|1|0|0|0|3|3|3|2|1|1|2|0|1|2|0|0|shame|1|2|0110026|Cuando no podía recordar qué decir sobre una tarea de presentación en una reunión de cuentas.|1|
11002|1|1|2|2|23|0|0|7|5|2|7|2|2|2|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|4|3|0|2|0|0|guilt|2|2|0110027|Cuando mi tío y mi vecino volvieron a casa bajo escolta policial.|1|
11003|1|1|3|2|22|8|2|4|6|2|1|1|3|3|0|0|2|1|1|1|0|0|2|1|0|1|1|0|0|5|1|3|3|3|0|joy|3|3|0110031|[En los días en que me siento cerca de mi pareja y otros amigos. Cuando me siento en paz conmigo mismo y también experimento un contacto cercano con personas a quienes considero grandemente.]|1|
11003|1|1|3|2|22|8|2|4|6|2|2|1|2|2|1|2|2|1|1|0|0|0|0|2|2|3|0|0|1|1|0|1|0|0|2|fear|2|2|0110032|Cada vez que me imagino que alguien a quien amo o puedo contactar con una enfermedad grave, incluso la muerte.|1|
11003|1|1|3|2|22|8|2|4|6|2|3|3|4|4|4|1|0|2|0|0|1|0|2|2|1|3|3|3|2|1|0|1|1|2|2|anger|4|4|0110033|Cuando había sido obviamente tratado injustamente y no tenía ninguna posibilidad de aclarar esto.|1|
11003|1|1|3|2|22|8|2|4|6|2|4|2|3|3|0|0|0|1|1|0|0|0|0|2|2|3|0|1|1|5|1|3|0|1|0|sadness|3|3|0110034|Cuando pienso en el corto tiempo que vivimos y lo relaciono con los períodos de mi vida cuando pienso que no usé este tiempo corto.|1|
11003|1|1|3|2|22|8|2|4|6|2|5|2|4|4|3|0|1|2|1|0|0|0|2|2|3|3|3|0|0|1|3|3|1|2|0|disgust|4|4|0110035|En una reunión me encontré involuntariamente sentado junto a dos personas que expresaron opiniones que consideraba muy bajas y más discriminatorias.|1|
11003|1|1|3|2|22|8|2|4|6|2|6|1|3|2|2|1|0|2|0|0|1|0|2|2|2|3|3|0|1|5|3|1|1|3|2|shame|3|2|0110036|Cuando me di cuenta de que estaba dirigiendo los sentimientos de descontento con mi compañero y de esta manera intentaba echarle la culpa a él en lugar de eliminar mis sentimientos.|1|
11003|1|1|3|2|22|8|2|4|6|2|7|1|1|2|0|0|0|2|1|0|0|0|0|2|0|3|0|0|1|5|2|1|1|0|0|guilt|1|2|0110037|Me siento culpable cuando me doy cuenta de que considero que las cosas materiales son más importantes que cuidar de mis familiares. Me siento muy egocéntrico.|1|
11004|1|1|4|1|23|8|2|6|4|2|1|1|3|3|0|0|1|1|0|1|0|0|0|1|2|1|1|0|2|4|1|3|3|3|0|joy|3|3|0110041|Después de que mi novia hubo tomado el examen, fuimos a la casa de sus padres en Á.|1|
11004|1|1|4|1|23|8|2|6|4|2|2|4|4|4|0|0|0|0|1|0|0|0|0|3|3|3|1|1|1|3|0|2|0|0|0|fear|4|4|0110042|Cuando, por primera vez, me di cuenta del significado de la muerte.|1|
11004|1|1|4|1|23|8|2|6|4|2|3|2|1|4|2|0|0|1|0|0|0|0|1|1|3|1|2|3|3|4|3|3|1|0|0|anger|1|4|0110043|Cuando un automóvil está adelantando a otro, me veo obligado a conducir fuera de la carretera.|1|
11004|1|1|4|1|23|8|2|6|4|2|4|1|3|2|0|1|0|0|1|0|0|0|0|2|2|3|3|0|1|5|0|1|0|0|1|sadness|3|2|0110044|Cuando recientemente pensé en el trabajo arduo que se necesita para estudiar, y cómo uno quiere probar algo más. Cuando leí un libro teórico en inglés que no entendí.|1|
11004|1|1|4|1|23|8|2|6|4|2|5|3|1|2|0|1|0|0|0|0|0|0|0|1|1|3|0|0|3|4|0|2|0|1|1|disgust|1|2|0110045|Cuando encontré una cerda en el tubo de pasta de hígado.|1|
11004|1|1|4|1|23|8|2|6|4|2|6|1|1|1|0|0|0|0|1|0|0|0|0|2|1|3|2|3|1|5|1|2|2|0|0|shame|1|1|0110046|Cuando estaba cansada y desmotivada, le grité a mi novia y aa y mencioné aspectos negativos de su personaje que en realidad no son tan importantes.|1|
11004|1|1|4|1|23|8|2|6|4|2|7|1|2|2|0|0|0|0|1|0|0|0|0|3|2|3|1|2|1|1|3|1|0|0|0|guilt|2|2|0110047|Cuando pienso que no estudio lo suficiente. Después del fin de semana, creo que debería haber podido lograr algo durante ese tiempo.|1|
11005|1|1|5|2|22|1|1|7|6|2|1|3|3|3|1|0|0|3|1|1|0|0|1|1|1|1|1|1|1|4|1|3|2|3|0|joy|3|3|0110051|Cuando apruebo un examen que no creo que hice bien.|1|
11005|1|1|5|2|22|1|1|7|6|2|2|3|1|2|1|0|2|1|0|0|0|0|1|1|2|3|2|2|4|3|0|2|2|0|0|fear|1|2|0110052|Cuando uno está dispuesto a encontrarse con alguien y esa persona llega tarde, mientras tanto, uno comienza a pensar en todo lo que podría haber salido mal, por ejemplo, un accidente de tráfico.|1|
11005|1|1|5|2|22|1|1|7|6|2|3|4|1|3|1|0|2|2|0|0|1|0|0|2|1|3|2|3|2|5|2|2|1|0|1|anger|1|3|0110053|Cuando uno es injustamente acusado de algo que no ha hecho.|1|
11005|1|1|5|2|22|1|1|7|6|2|4|1|2|2|0|0|0|1|1|0|0|0|0|2|2|3|1|0|0|5|1|3|2|1|0|sadness|2|2|0110054|Cuando los estudios de uno parecen irremediablemente difíciles y carentes de interés.|1|
11005|1|1|5|2|22|1|1|7|6|2|5|4|2|2|0|0|1|0|0|0|0|0|1|2|1|3|2|2|2|3|3|2|2|0|0|disgust|2|2|0110055|Cuando uno descubre que alguien que usted conoce no se parece en nada a lo que uno había pensado, por ejemplo, amigos que roban y cosas por el estilo, bastante injustificadas.|1|
11005|1|1|5|2|22|1|1|7|6|2|6|3|2|2|0|1|0|0|0|0|0|0|0|2|0|3|2|2|1|2|2|2|2|1|1|shame|2|2|0110056|Cuando uno ha sido injusto, estúpido hacia otra persona.|1|
11005|1|1|5|2|22|1|1|7|6|2|7|3|1|1|0|1|0|0|1|0|0|0|0|2|2|3|2|2|1|5|2|1|1|2|1|guilt|1|1|0110057|Cuando uno ha descuidado o ha sido injusto con un buen amigo.|1|
11006|1|1|6|1|23|1|2|0|0|2|1|4|2|3|1|0|0|1|0|1|0|0|1|1|0|1|1|1|0|4|1|3|0|0|0|joy|2|3|0110061|Al pasar un examen no esperaba pasar.|1|
11006|1|1|6|1|23|1|2|0|0|2|2|3|1|2|1|0|0|1|0|1|0|0|0|1|0|2|1|1|4|5|0|3|3|1|0|fear|1|2|0110062|Cuando subí a un árbol para recoger manzanas. El ángulo de la escalera en la que estaba no me permitió elevarme lo suficiente. Esto implicaba que la escalera no era muy estable.|1|
11006|1|1|6|1|23|1|2|0|0|2|3|4|3|3|0|0|0|0|0|0|0|0|1|1|1|3|2|1|2|5|0|0|1|0|0|anger|3|3|0110063|Amigos que torturan animales.|1|
11006|1|1|6|1|23|1|2|0|0|2|4|4|1|2|0|0|0|0|0|0|0|0|0|2|1|3|0|3|2|5|3|0|1|0|0|sadness|1|2|0110064|[Igual que en la ira.]|1|
11006|1|1|6|1|23|1|2|0|0|2|5|4|2|4|0|0|0|0|0|0|0|0|0|1|1|3|2|1|2|1|3|0|1|0|0|disgust|2|4|0110065|Amigos que torturan animales.|1|
11006|1|1|6|1|23|1|2|0|0|2|6|4|1|2|0|0|0|0|0|0|0|0|0|1|1|3|2|1|2|5|0|0|1|3|0|shame|1|2|0110066|[Igual que arriba - amigos que torturan animales.]|1|
11006|1|1|6|1|23|1|2|0|0|2|7|3|1|2|0|0|0|0|0|0|0|0|0|0|2|0|1|2|0|5|1|0|0|0|0|guilt|1|2|0110067|[Cuando son necesarias las excusas y salgo de hacerlo yo mismo.]|1|
