respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,¿Con qué frecuencia ha experimentado las siguientes emociones durante su proceso de aprendizaje?,,,,,,,,,,Recuerde la situación más emotiva que haya vivido este semestre.   Seleccione la emoción más relacionada  con esa situación y describa la situación.,,Recuerde la situación más difícil que haya vivido durante toda su carrera. Seleccione la emoción más relacionada con esa situación y describa la situación.,,Imagine una situación que quisiera vivir en su último semestre. Seleccione la emoción más relacionada con esa situación y describa la situación.,,"Han estado trabajando en un problema durante días sin lograr resolverlo. La fecha de entrega de la solución es mañana a primera hora. El grupo decide solicitar al profesor unos días más de plazo, pero él no lo concede.¿Qué emoción sentiría en ese momento?",,Están en la recta final para entregar el proyecto del semestre. Su proyecto genera un error y ustedes no han encontrado la causa. Unas horas antes de la entrega un compañero mira su proyecto y les indica el problema. Ustedes alcanzan a resolverlo.¿Qué emoción sentiría en ese momento?,,Su profesor les comunica que ha encontrado evidencia de copia en algunos de los trabajos del grupo y les pide a todos que se acerquen a su oficina para aclarar la situación. ¿Qué emoción sentiría en ese momento?,,¿Cuál es su género?,,¿Cuál de estos cursos está cursando actualmente?,,,,,,
,,,,,,,,,Aburrimiento,Alivio,Ansidedad,Confusión,Curiosidad,Decepción,Disfrute,Frustración,Satisfacción,Temor,Response,Situación,Response,Situación,Response,Situación,Response,"Si pudiera decirle abiertamente  al  profesor lo que siente, ¿qué le diría?",Response,"Si pudiera decirle abiertamente al  compañero que les ayudó lo que siente, ¿qué le diría?",Response,"Si pudiera decirle abiertamente  a su mejor amigo lo que siente, ¿qué le diría?",Response,Otro (especifique),PIMB,PIMO,MBDA,POOB,PDSW,ARSW,COSW
10370461244,220262807,11/22/2018 10:55:45 AM,11/22/2018 11:04:51 AM,,,,,,Algunas veces,Algunas veces,Casi siempre,Muchas veces,Algunas veces,Muchas veces,Muchas veces,Casi siempre,Algunas veces,Casi siempre,Decepción,"Al cancelar dos materias, porque me sentí decepcionado de mi mismo",Temor,A perder las materias que estoy cursando ya que perdería el tiempo y plata  ,Satisfacción,"Al pasar todas las materias, subir el promedio y avanzar en mi carrera",Frustración,"Por más que lo intentamos no pudimos resolverlo, pensamos y pensamos y nuestras capacidades o conocimientos no ayudaron a resolver el problema",Satisfacción,"Gracias, nosotros por más que lo miramos no pudimos encontrar el error y gracias a usted entregaremos el proyecto completo",Temor,"Tengo miedo que me descubran y me sancionen, no quiero ir a darle la cara al profesor",Másculino,,PIMB,,,,,,
10370199052,220262807,11/22/2018 08:38:50 AM,11/22/2018 08:40:58 AM,,,,,,Algunas veces,Muchas veces,Casi siempre,Muchas veces,Casi siempre,Algunas veces,Muchas veces,Muchas veces,Siempre,Casi nunca,Satisfacción,,Decepción,,Satisfacción,,Ansiedad,,Satisfacción,,Confusión,,Femenino,,PIMB,,,,,,
10369414091,220262807,11/21/2018 11:18:01 PM,11/21/2018 11:25:26 PM,,,,,,Casi nunca,Muchas veces,Muchas veces,Algunas veces,Casi siempre,Algunas veces,Muchas veces,Muchas veces,Muchas veces,Casi nunca,Ansiedad,"Me encontraba en el segundo parcial de MBDA y no me compilaba la construcción de la base de datos que había diseñado previamente, me hubiera gustado tener la sintaxis.",Frustración,Injusticia cometida por un profesor de calculo diferencial y una directiva de la escuela en la cual se vio comprometida mi credibilidad.,Satisfacción,"Graduarme con todos los compañeros que entre en el primer semestre, debido al atraso en una materia me gustaria tener la oportunidad de hacer un intersemestral para lograr este sueño.",,,,,,,,,,,,,,,
10369360444,220262807,11/21/2018 10:31:30 PM,11/21/2018 10:50:27 PM,,,,,,Casi nunca,Muchas veces,Algunas veces,Muchas veces,Algunas veces,Muchas veces,Casi siempre,Algunas veces,Muchas veces,Algunas veces,Satisfacción,Haber pasado una materia con notas altas y sentirme bien en todas las clases,Frustración,No haber logrado pasar todas las materias que veo en este semestre,Disfrute,Terminar la carrera con promedio aceptable y poder disfrutar la carrera,Frustración,¿Por qué es asi profe? el problema estaba muy difícil de resolver,Alivio,"Gracias gracias por ayudarnos, ¿quiere que le gastemos algo?",Temor,"Y ahora que hacemos, que le decimos porque con esto ya pailas, ya toco cancelar",Másculino,,PIMB,,,,,,
10369312748,220262807,11/21/2018 09:50:27 PM,11/21/2018 09:52:25 PM,,,,,,Muchas veces,Muchas veces,Muchas veces,Muchas veces,Muchas veces,Muchas veces,Muchas veces,Algunas veces,Muchas veces,Casi nunca,Decepción,,Ansiedad,,Disfrute,,,,,,,,,,,,,,,,
10369185820,220262807,11/21/2018 08:00:34 PM,11/21/2018 08:11:47 PM,,,,,,Algunas veces,Casi nunca,Muchas veces,Algunas veces,Muchas veces,Casi nunca,Casi siempre,Muchas veces,Muchas veces,Algunas veces,Frustración,"Frustacion con el desarrollo de proyecto de grado 2, ya que la tematica se cambio totalmente y era yo solo y no me senti apoyado ya que era un tema ajeno al mio.",Frustración,"Con mi proyecto de grado lo que pasa es que como es un proceso donde lo sueltan a uno para que aplique los conocimientos adquiridos, al ver que no se me ocurre nada deje de realizar mis trabajos a tiempo por el simple hecho de pensar que hacer y como le gustaria a los jurados y como me gustaria a mi presentalo, frustracion al ver que todo se va acumulando y al final no se entrega los resultados esperados por mio.",Curiosidad,Curiosidad por el mundo laboral que se amecina no me gusta sentirme todavia  con mil trabajos que al final para el mundo laboral no tendran importancia,Frustración,"Le dieria que mi equipo se siente frustado porque no alcanzo a realizar el trabajo a tiempo, y que a fecha de entrega lo unico que ocasiona es temor ",Alivio,que gracias por ayudarme nos servia otra vision del problema,Confusión,Pues que no debio copiarse si no mas bien pedir ayuda y talves coger el trabajo del que se copio como ejemplo y no como una plantilla,Másculino,,,,,,,,COSW
10368922805,220262807,11/21/2018 04:42:48 PM,11/21/2018 04:46:58 PM,,,,,,Muchas veces,Casi siempre,Muchas veces,Casi nunca,Casi siempre,Muchas veces,Algunas veces,Muchas veces,Casi siempre,Muchas veces,Ansiedad,,Temor,,Satisfacción,,Frustración,,Ansiedad,,Frustración,,Másculino,,PIMB,,,,,,
10368732672,220262807,11/21/2018 02:52:31 PM,11/21/2018 02:57:56 PM,,,,,,Muchas veces,Casi nunca,Nunca,Nunca,Casi siempre,Casi nunca,Casi nunca,Algunas veces,Muchas veces,Nunca,Satisfacción,,Decepción,,Satisfacción,,Frustración,,Alivio,,Curiosidad,,Másculino,,PIMB,,,,,,
10368521487,220262807,11/21/2018 01:04:03 PM,11/21/2018 01:12:55 PM,,,,,,Casi nunca,Muchas veces,Casi siempre,Casi nunca,Siempre,Casi nunca,Siempre,Algunas veces,Siempre,Casi nunca,Decepción,"LCAL, por que tuve que cancelar, ya que era lento en coger los temas ",Temor,"De no pasar alguna materia PRECA, CALCULO de que esto me bajara el promedio y que más adelante me afectara ",Satisfacción,De poder haber graduado en 10 semestres y comenzar con la segunda carrera ,,,,,,,,,,,,,,,
